slno,BRAND_NAME
B1,FW PVT - FOOD
B2,PREMIER ARYCO INDIA LTD
B3,PROCTER AND GAMBLE
B4,PEARL POLYMERS
B5,SHERRY METALS
B6,BIRLA 3M
B7,FW PVT - NON FOOD
B8,IMPORTED FOODS
B9,ARCHANA ENTERPRISES
B10,BUTTERCUP CONFECTIONERY LTD
B11,S.C.JOHNSON PRODUCTS PVT.LTD.
B12,WIPRO LTD
B13,HINDUSTAN UNILEVER LTD
B14,MARICO INDUSTRIES
B15,L’OREAL INDIA PVT. LTD.
B16,FOOD WORLD FRESH
B17,GOLDEN TIPS TEA CO.LTD
B18,CADBURY'S
B19,SHAW WALLACE & CO
B20,GENERAL MILLS
B21,BIMALA SPICES FOOD IND.LTD.
B22,NON FOOD OTHERS
B23,BIOTIQUE
B24,GODREJ SARALEE
B25,FOOD WORLD STAPLES
B26,NESTLE INDIA LIMITED
B27,KEELLS FOOD PRODUCTS LTD.
B28,VENKATESHWARA HATCHERIES
B29,POLYKORP PRIVATE LIMITED
B30,BRITTANNIA INDUSTRIES LTD.
B31,CAVINCARE LIMITED (DAIRY DIVISION)
B32,SPICE WORLD
B33,USHODAYA INDUSTRIES
B34,BALAJI FOODS(HYD)
B35,HEINZ
B36,IMPORTED STAPLES
B37,IMPORTED NOODLES
B38,YUMMY FOODS PVT LTD
B39,STAPLES OTHERS
B40,KAMASUTRA
B41,AMALGAM FOODS
B42,MTR FOODS LTD
B43,IMPORTED BISCUITS
B44,LIJJAT
B45,IMPORTED BRANDED BEVERAGES
B46,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD
B47,DABUR
B48,PROCESS FOOD OTHERS
B49,BAGGRY'S INDIA LTD
B50,GUJARAT COOP MILK PROD FEDRN
B51,K S D L
B52,ORIGAMI
B53,HENKEL SPIC
B54,COLGATE PALMOLIVE
B55,MODI REVLON
B56,SRI LEKHA HI PACK ENTERPRISES
B57,DESAI BROTHERS LTD FOOD
B58,RECKITT BENCKISER(INDIA) LTD.
B59,IMPORTED JAMS/ SPREADS/ SAUCES
B60,IMPORTED CONFECTIONERY
B61,IMPORTED BAKERY
B62,IMPORTED BCF
B63,IMPORTED NON FOOD
B64,MAHASHIAN DI HATTI(P) LTD
B65,KHODAYS
B66,NILGIRIS
B67,K.S.B.C.L
B68,IMPORTED FOODS (ST DALFOUR)
B69,PERFETTI
B70,GITS FOOD PRODUCTS PVT.LTD
B71,MOTHER DAIRY & VEGTABLE- DHARA
B72,HYDERABAD FOOD PRODUCTS
B73,Weikfield
B74,PEPSI CO
B75,LION DATES PVT.LTD.
B76,J K HELENE CURTIS
B77,MAGWORLD ENTERPRISES
B78,UNITED TRADING CORPORATION
B79,GMS OTHER
B80,CAPITAL FOODS
B81,LUXOR WRITING INSTRUMENTS PVT
B82,BANJARAS
B83,DUNCANS INDUSTRIES LTD.
B84,MARS INTERNATIONAL INDIA LTD
B85,TTK-LIG LTD
B86,MONGINI FOODS
B87,JOHNSON & JOHNSON
B88,CANDOR LABS LTD.
B89,MIRASU MARKETING
B90,I T C
B91,INDO NISSIN
B92,KELLOGG INDIA PVT LTD
B93,NEEDLE INDUSTRIES
B94,NIVEA INDIA PVT LTD
B95,HALDIRAM'S NAGPUR
B96,WRIGLEY'S INDIA PVT.LTD
B97,ZYDUS WELLNESS LTD
B98,EAGLE PRODUCTS
B99,IMPORTED HOT BEVERAGES
B100,PARLE PRODUCTS PVT LTD
B101,SCANDIC FOOD INDIA PVT. LTD
B102,KODAI DAIRY PVT LTD
B103,UNIVERSAL COORPORATION PVT LTD
B104,THE HIMALAYAN DRUG COMPANY
B105,S. NARENDRA KUMAR & CO
B106,S.S.PANDIAN & SONS
B107,KRAFT FOODS
B108,IMPORTED SAVOURIES
B109,IMPORTED SOUPS
B110,ROYAL CHEF AGRO FOODS
B111,S.M.FOODS
B112,KERA FED
B113,SAKTHI MASALA (P) LTD.
B114,TATA TEA
B115,VIKRAMA FISHING CO.
B116,MADHUSUDAN FOODS
B117,INDIAN HOMECARE PRODUCTS
B118,UNITED INDIA FOODS
B119,ATS GROUNDNUT SWEETS
B120,MANGHARAMS
B121,GROVER VINEYARD
B122,HERSHEYS INDIA
B123,FARM SUZANNE
B124,GMS - MISC (UNBRANDED)
B125,MARUTHI FOOD PRODUCTS
B126,THE VEDIC COMPANY
B127,ARVIND TRADING COMPANY
B128,MC DOWELL & COMPANY
B129,SAFEWAY INTERNATIONAL
B130,VEBS FOOD PRODUCTS (P) LTD.
B131,THE GARDEN HOME FOOD
B132,SPLITZ FOODS
B133,SULA WINEYARDS
B134,PRISTINE ORGANICS (P) LTD
B135,KARNATAKA DAIRY
B136,PERNOD RICARD INDIA PVT LTD
B137,FOSTER INDIA LTD
B138,GOANAS
B139,Energizer
B140,G.R.G DAIRY PRODUCTS PVT LTD
B141,DIAGEO INDIA PVT. LTD
B142,CITY AGRO CORN
B143,HERBERTSONS
B144,UB LIMITED
B145,GLOBAL FOODS
B146,JAGAJIT BROWN FORMAN INDIA
