Brand ID,Name
B1,Lux
B2,Lifebuoy
B3,Liril
B4,Hamam
B5,Breeze
B6,Moti
B7,Dove
B8,Pears
B9,Rexona
B10,Surf Excel
B11,Sun light
B12,Rin
B13,Wheel
B14,Ala bleech
B15,Vim
B16,Domex
B17,CIF
B18,"Kissan(Jam,Ketchup,Squashes)"
B19,Annapurna(Aata and salt)
B20,Knorr Soups
B21,Modern Bread
B22,Kwality Wall's
B23,Brooke bond
B24,Lipton
B25,Taj Mahal
B26,Brooke Bond BRU
B27,Fair & Lovely
B28,Lakme
B29,Ponds
B30,Vaseline
B31,Aviance
B32,Sunsilk naturals
B33,Clinic
B34,Pepsodent 
B35,Close-up
B36,Axe
B37,Ayush
B38,Adidas
B39,7 Up
B40,ABK
B41,All Out
B42,Glade
B43,
B44,
B45,
B46,
B47,
B48,
B49,
B50,
B51,
B52,
B53,
B54,
B55,
B56,
B57,
B58,
B59,
B60,
B61,
B62,
B63,
B64,
