slno,SUB_CAT_NAME
SP1,VEG PICKLES
SP2,NON STICK WARE
SP3,CAR CARE
SP4,PET CONTAINERS
SP5,CLOTH CLIPS
SP6,BROOMS/BRUSHES
SP7,BATHROOM ACCESSORIES
SP8,DRAWING/COLORIN
SP9,WRITING NEEDS
SP10,CB/SS UTENSILS
SP11,BAKERY SAVOURIES
SP12,PESTICIDES/INSECTICI
SP13,POWDER DETERGENT
SP14,FEEDING NEEDS/ACCESS
SP15,TOOTHPASTE
SP16,HAIR OIL
SP17,HAIR COLORS
SP18,HERBS
SP19,SPECIALITY TEA
SP20,FRUIT-TROPICAL
SP21,MULTI PACKS/GIFTS
SP22,WHISKY
SP23,READY MASALAS
SP24,POWDERED SPICES
SP25,ATTA
SP26,COOKING FOILS
SP27,HERBAL CREAMS
SP28,SHAVING FOAM/GELS
SP29,SHAMPOO
SP30,SOAP
SP31,WHOLE SPICES
SP32,CHOC COATED
SP33,MARKED FOR DELETE
SP34,RAVA/SOOJI
SP35,MOONG WHOLE/ DALS
SP36,RAW RICE
SP37,CHICKEN
SP38,BREAD BASED PRODUCTS
SP39,LOAF BREADS
SP40,TOILET CLEANERS
SP41,DIAPERS
SP42,CTC/ LEAF TEA
SP43,DESERT MIXES
SP44,SANITARY PADS
SP45,HERBAL HAIR OIL
SP46,INSTANT NOODLES
SP47,OTHER DRY FRUITS
SP48,UNBRANDED SNACKS
SP49,WHITE BEVERAGES
SP50,MINERAL WATER
SP51,BLOCK CHOCOLATE
SP52,POWDER MILK
SP53,MINTS/ GUMS
SP54,BRANDED SNACKS
SP55,PASTA
SP56,ENERGY BARS
SP57,SUNFLOWER OIL
SP58,CONDOMS
SP59,BROWN BEVERAGES
SP60,FISH/SEAFOOD
SP61,INSTANT MIXES
SP62,HEALTH BISCUITS
SP63,PAPADS/APPALAMS
SP64,JUICES
SP65,HEALTH SUPPLIMENTS
SP66,CREAM FILLED BISCUIT
SP67,COOKIES
SP68,LOCAL CONFECTIONARY
SP69,MUESLI
SP70,INDIAN
SP71,PAPER PLATES/STRAWS
SP72,OTHER HAIRCARE
SP73,TOOTHBRUSH
SP74,DEODORANTS
SP75,AVAL/PUFFED RICE
SP76,OLIVE
SP77,LIQUID SOAP
SP78,GROUND COFFEE
SP79,GLUCOSE/ MILK BISCUI
SP80,FLAVOURED YOGHURTS
SP81,TEA BAGS
SP82,MAYONNAISE
SP83,SALAD DRESSINGS
SP84,SALTED BISCUITS
SP85,JAMS/MARMALADE
SP86,FRUIT DRINKS & NECTA
SP87,VEG SOUP
SP88,BABY TOILETRIES
SP89,HERBAL SHAMPOOS
SP90,SOYA ADDITIVES
SP91,SCOTCH
SP92,OTHER BISCUITS
SP93,WHITE WINE
SP94,COUNT LINES
SP95,NON VEG SOUP
SP96,OTHER SAUCES
SP97,CHILLI SAUCE
SP98,SHOE POLISH
